# Pitfall Problems Log — VidBrain / Embedding Research

> 记录 Session 中具有工程挑战价值的问题、阻塞性卡点、架构决策变更。
> 按时间倒序排列，最新问题在顶部。

| # | 时间 | 问题描述 (核心挑战) | 复现/触发路径 | 解决方案 (及核心工程逻辑) | 是否已解决 | 面试素材价值 (技术深度点) |
|---|------|-------------------|-------------|----------------------|----------|------------------------|
| 12 | 2026-06-10 17:51 | **RAG 上下文格式污染 LLM 推理**：embedding-branch 在 Agent EVAL 中 dim B (双链) 得分 -0.94，dim D 胜出率 0%。根因是 RAG 检索结果中使用 `[[note_name]]` wikilink 语法标注来源，LLM 误将来源标注当作链接目标，生成了大量错误双链。Reviewer 明确观察到"笔记B可能基于额外上下文……但按给定输入应判错"。 | 1. 启用 `--embedding` 运行管道 2. 观察 auto_link 节点输出的双链质量 3. RAG context 中格式为 `--- 来源: [[NoteName]] (相似度: x.xx) ---` 4. LLM 将 `[[NoteName]]` 解释为应生成的链接 | 临时方案：用纯文本替代 wikilink 格式标注来源（如 `--- 相关笔记: NoteName (相似度: x.xx) ---`）。深层方案：RAG 检索结果的展示格式应与 Agent 输出格式严格隔离——检索上下文使用 `[ref: NoteName]` 等非 wikilink 语法，或在 prompt 中显式声明"上方片段中的链接语法仅供引用，请勿直接复制"。 | 否（待修复） | **Prompt Injection 的防御性设计**：这是 LLM 应用中经典的"上下文污染"问题。当 system prompt 注入的外部数据恰好与 LLM 的输出语法同构时，LLM 无法区分"这是给你的参考"和"这是你要模仿的格式"。解决方案体现了对 LLM 认知偏误的理解——不是让 LLM 更聪明，而是改变输入格式消除歧义。面试可展开讨论：RAG 场景下的 prompt engineering 安全边界、如何设计防污染的输出格式协议。 |
| 11 | 2026-06-10 08:11 | **O(n²) Embedding API 成本爆炸**：eval_runner 每个视频对都执行 `_progressive_chunk_indexing`（612 篇笔记 × 39 对 ≈ 24K 次 API 调用）。预索引耗时 ~5 分钟/对，总计约 3 小时仅用于重复预索引。依据"沉默成本不是成本"原则立即停止任务重构。 | 1. 为 39 个视频运行 eval_runner 2. `run_single_pipeline` 中每次调用都从 seed vault 复制并重新预索引 3. 99% 的 embedding API 调用是冗余的 | 将预索引提升到循环外：在 `main()` 中仅执行一次 seed vault 的全量 chunk 预索引（`batch_size=999999`），生成 `.vidbrain_chunks.db` + `.vidbrain_chunk_vectors.npy`。后续视频对通过 `_copy_vault` 复制 vault 时，chunk 索引文件随 `.md` 文件一并复制，每个临时 vault 直接继承完整索引。从 24K 降至 632 次 API 调用（~97% 减少）。 | 是 (commit 2afe4d1) | **fail-fast + 沉默成本认知**：发现方向错误后立刻停止，不因"已经跑了很久"而继续。这是工程管理层面的决策质量——代码写得越多不代表越接近目标。技术上展示了"将可变状态外提"的经典优化模式：识别循环不变量，将其从 O(n) 提升到 O(1)。 |
| 10 | 2026-06-10 05:43 | **Embedding API 输入长度超限**：DashScope text-embedding-v4 返回 `Range of input length should be [1, 8192]`。某些 vault 笔记的 chunk 内容为 0 字符或包含极长无分隔文本，超出 API 限制。在预索引 632 篇笔记时约 1-2 篇触发此错误。 | 1. 包含连续无断句文本的笔记（如代码块、长 URL、表格） 2. `_split_long_by_sentence` 无法在无标点位置切开 3. 生成的 chunk 超过 8192 token 限制 | 当前通过 try/except 静默跳过失败笔记（嵌入零向量降级）。未根本解决——需在 `chunk_note_content` 中增加最大 token 硬限制（`HARD_MAX_CHARS = 4000`，对应约 8000 token），超过则强制在任意位置截断。 | 否（部分缓解） | **外部 API 的防御性输入校验**：第三方 API 的输入限制不会在文档中完全体现（如 token 计算方式与 char 计算方式的差异）。需要在数据管道中实现"最大努力"截断策略——宁可损失部分语义完整性，也要保证管道不中断。这是生产环境中与 SaaS API 交互的必备模式。 |
| 9 | 2026-06-10 05:43 | **Worktree 环境中模型缓存缺失**：ASR 引擎无法加载 Whisper `tiny` 模型，`_find_cached_snapshot` 返回 `None`，网络下载因 huggingface.co SSL 超时失败。32/39 视频被跳过。根因是 git worktree 有独立的 `.model_cache/` 目录（由 `config.py` 中 `_PROJECT_ROOT` 解析到 worktree 路径），而模型只在 main 项目的 `.model_cache/` 中。 | 1. 在 git worktree 中运行 pipeline 2. `config.py:25-27` 将 `HF_HOME`/`HF_HUB_CACHE` 设为 `_PROJECT_ROOT / ".model_cache"` 3. `_PROJECT_ROOT` 在 worktree 中解析为 worktree 根目录 4. worktree 的 `.model_cache/` 为空——模型从未在此下载 | 从 main 项目复制完整 `.model_cache/` 到 worktree：`cp -r VidBrain/.model_cache/* embedding-research/.model_cache/`。这暴露了一个架构问题——`config.py` 使用相对路径定位模型缓存，在 worktree/symlink/deploy 场景下会产生多个独立缓存副本。更健壮的做法是通过环境变量 `VIDBRAIN_MODEL_CACHE` 覆盖默认路径。 | 是 (手动复制) | **自包含项目 vs 共享资源的边界设计**：`config.py` 的"项目内自包含"设计在 worktree 场景下产生了多份模型副本。这引出了一个架构权衡：自包含（每个环境独立，零外部依赖）vs 共享资源（统一缓存，节省空间但引入耦合）。面试可讨论：如何在保持"一行命令启动"的用户体验前提下，优雅处理多实例资源复用。 |
| 8 | 2026-06-10 05:31 | **eval_runner DB 未初始化导致 sqlite3.OperationalError**：`db.create_task()` 在未先调用 `db.init_db()` 时抛出 `no such table: video_pipeline`。正常的 `main.py` 启动流程会先调用 `init_db()`，但 eval_runner 直接创建 `DatabaseManager` 并调用 `create_task`。 | 1. 运行 eval_runner 2. `run_single_pipeline` 中 `db = DatabaseManager(db_path)` 3. 紧接着 `db.create_task(...)` 4. SQLite 数据库文件尚未被 `init_db()` 创建表结构 | 在 `create_task` 前增加 `db.init_db()` 调用。更根本的方案是让 `DatabaseManager.__init__` 自动调用 `init_db()`（幂等），消除调用方遗漏初始化的问题。但当前设计保持了两者分离以支持只读模式等场景。 | 是 (commit 4fa35b4) | **类的不变式（Class Invariant）与构造时机**：`DatabaseManager` 的 `create_task` 方法依赖前置条件"表已存在"，但这个前置条件未在构造函数中保证，而是依赖外部调用者记得调用 `init_db()`。这是典型的"时序耦合"（Temporal Coupling）问题——两个方法调用之间有隐式的顺序依赖。解决方案：要么在构造函数中建立不变式，要么使用工厂模式/Build pattern 确保"就绪"状态。 |
| 7 | 2026-06-10 05:30 | **eval_runner 调用不存在的 DB 方法**：`db.upsert_video()` → `AttributeError`。`DatabaseManager` 的实际方法是 `create_task()`（语义为 `INSERT OR IGNORE`，天然幂等），而我在编写 `eval_runner.py` 时凭记忆写了 `upsert_video`。 | 1. 运行 `eval_runner.py` 2. `run_single_pipeline` 中调用 `db.upsert_video(...)` 3. `DatabaseManager` 无此方法 | 将 `upsert_video` 改为 `create_task`。同时暴露了一个流程问题：eval 脚本未经过单元测试覆盖就直接跑了全量管道，导致这类 API 误用只能通过"启动→崩溃→修→再启动"的低效循环发现。 | 是 (commit 4fa35b4) | **API 契约验证与"快速失败"**：这个问题本质上是在两个独立开发的模块（eval_runner + DatabaseManager）之间缺乏编译时接口校验。在动态语言中，可以通过 Protocol/ABC 定义接口契约，或至少通过 smoke test（单视频空跑）在分钟级发现此类问题，而非等待 39 个视频跑完才暴露。 |
| 6 | 2026-06-10 03:58 | **git add -A 意外提交 .claude/settings.local.json**：在 Task 7 集成验证提交时，使用 `git add -A` 将 `.claude/settings.local.json` 也误提交了。 | 使用 `git add -A` 而非 `git add <specific-files>` | `git rm --cached .claude/settings.local.json` + `git commit --amend --no-edit` 移除误提交文件。教训：永远用 `git add <specific files>` 而非 `git add -A`/`git add .`，后者会把工作区所有变更（包括非预期的配置文件）打包进 commit。 | 是 (amended) | **Git 操作纪律**：`git add -A` 是危险操作——它将所有变更（包括 untracked config files）全部暂存。在 CI/CD 或自动化流程中，应始终以最小集合提交：`git add path/to/changed/file`。这是基础但关键的工程习惯。 |
| 5 | 2026-06-09 (早) | **ChunkStore 向量矩阵重索引时数据腐化**：`chunk_note()` 在重新索引已有笔记时，SQLite 行被 DELETE + INSERT，但 numpy 向量矩阵通过 `np.vstack` 简单追加——旧向量未被移除。导致向量行索引与 SQLite chunk_id 错位，`find_similar()` 可能返回错配的内容。触发场景：同一视频重复处理或手动重置 PENDING 状态后重跑。 | 1. 处理一个已存在于 chunk 索引中的视频 2. `chunk_note()` 调用 `remove_note()`（DELETE SQL rows） 3. 新向量通过 `np.vstack` 追加到矩阵末尾 4. 向量矩阵中旧 chunk 的向量成为孤儿行 5. `find_similar()` 的向量→SQLite 映射错位 | 修改 `chunk_note()` 逻辑：DELETE 前保存 `chunk_id → matrix_index` 映射 → DELETE + INSERT SQL → 提交后查询 DB 中所有 chunk_id 顺序 → 从新向量 + 保留的旧向量重建完整矩阵。这保证了向量矩阵始终与 SQLite 按 `ORDER BY chunk_id` 完全对齐。 | 是 (commit 59ec553) | **数据一致性在无外键的异构存储间**：SQLite 和 numpy 矩阵之间没有 DB 级别的引用完整性约束。这类似于微服务架构中"数据库 + 搜索引擎索引"之间的同步问题——主存储（SQL）和派生索引（向量）的最终一致性需要应用层保证。解决方案本质上是一个"基于变更日志的重建"模式：记录操作前的状态快照，执行变更，然后按主存储的当前状态重建派生索引。 |
| 4 | 2026-06-09 (早) | **Spec 偏差：chunk 合并逻辑引入未授权的 SOFT_MIN 常量**：实现 `chunk_note_content()` 时，子 agent 自主引入 `SOFT_MIN=20` 常量，导致 heading chunks 在 20-150 字符时不合并（与 spec 的 `HARD_MIN=150` 冲突）。这是子 agent 驱动开发中典型的"过度自主"问题。 | 1. 子 agent 按 spec 实现 chunk 合并 2. Agent 自主添加 `SOFT_MIN=20` 逻辑 3. Spec reviewer 发现偏差：heading chunks 在 20-150 chars 范围内未被合并 | 移除 `SOFT_MIN`，统一使用 `HARD_MIN=150`。这暴露了 spec→implementer 传递链中的一个风险：当 spec 没有显式禁止某行为时，implementer 可能自主添加"优化"——而"优化"在 spec 评审者看来就是偏差。 | 是 (commit 4f9f656) | **AI 辅助编程中的 spec 保真度**：子 agent 会被训练数据中的"最佳实践"驱动，主动添加 spec 未要求的功能（如 `SOFT_MIN`）。这在人类开发者中也常见（"我觉得这样更好"）。防范措施：spec 需要显式声明"不做什么"，reviewer 必须逐行对比 spec 与实现。这是 AI coding agent 管理中的核心挑战。 |
